"","occupation","y1619","y2024","y2534","y3544","y4554","y5564","y65plus","medianage","totalemp","womenpct","whitepct","blackpct","asianpct","hispanicpct","totalempfull","medianwagefull","soccode","soctitle","isco","iscotitle","Title","description_1d","description_4d","mean_score","mean_exposure_level","SD","potential","plus55pct","mean_score100","highexposure"
"14","Marketing managers",4,26,165,147,98,60,13,39.5,513,64.2,82.6,4.4,9,10.4,446,1886,"11-2021","Marketing Managers",1221,"Sales and marketing managers","Sales and Marketing Managers","Managers","Sales and marketing managers",0.29,"Low",0.16,"Other occupations",14.2300194931774,29,0
"15","Sales managers",0,12,96,160,149,110,26,45.8,555,32.9,87.4,7.8,3.1,10.2,538,2217,"11-2022","Sales Managers",1221,"Sales and marketing managers","Sales and Marketing Managers","Managers","Sales and marketing managers",0.29,"Low",0.16,"Other occupations",24.5931283905967,29,0
"16","Public relations and fundraising managers",2,8,45,43,29,17,6,40.7,149,70.1,88.5,6.5,3.7,12.3,136,1831,"11-2031","Public Relations and Fundraising Managers",1114,"Senior officials of special-interest organizations","Senior Officials of Special-interest Organizations","Managers","Senior officials of special-interest organizations",0.31,"Low",0.15,"Other occupations",15.3333333333333,31,0
"17","Public relations and fundraising managers",2,8,45,43,29,17,6,40.7,149,70.1,88.5,6.5,3.7,12.3,136,1831,"11-2031","Public Relations and Fundraising Managers",1219,"Business services and administration managers not elsewhere classified","Business Services and Administration Managers Not Elsewhere Classified","Managers","Business services and administration managers not elsewhere classified",0.33,"Low",0.17,"Other occupations",15.3333333333333,33,0
"18","Public relations and fundraising managers",2,8,45,43,29,17,6,40.7,149,70.1,88.5,6.5,3.7,12.3,136,1831,"11-2031","Public Relations and Fundraising Managers",1222,"Advertising and public relations managers","Advertising and Public Relations Managers","Managers","Advertising and public relations managers",0.33,"Low",0.12,"Other occupations",15.3333333333333,33,0
"19","Administrative services managers",0,2,11,24,22,23,6,47.2,87,74.6,80.8,9.8,7.1,11.4,74,1494,"11-3011","Administrative Services Managers",1219,"Business services and administration managers not elsewhere classified","Business Services and Administration Managers Not Elsewhere Classified","Managers","Business services and administration managers not elsewhere classified",0.33,"Low",0.17,"Other occupations",32.9545454545455,33,0
"20","Facilities managers",1,5,14,30,32,48,11,50.7,142,21.5,79.9,13,6.3,8.5,131,1375,NA,NA,3339,NA,"Business Services Agents Not Elsewhere Classified","Technicians and associate professionals","Business services agents not elsewhere classified",0.52,"Medium",0.19,"Other occupations",41.8439716312057,52,1
"21","Computer and information systems managers",0,4,92,236,217,153,31,47,732,30.1,71.9,6.7,19.5,8.2,712,2333,"11-3021","Computer and Information Systems Managers",1330,"Information and communications technology service managers","Information and Communications Technology Service Managers","Managers","Information and communications technology service managers",0.31,"Low",0.13,"Other occupations",25.1023192360164,31,0
"22","Financial managers",1,34,294,404,352,277,84,44.9,1445,53.4,77.4,10.2,9.5,10.6,1360,1890,"11-3031","Financial Managers",1211,"Finance managers","Finance Managers","Managers","Finance managers",0.3,"Low",0.13,"Other occupations",24.9654218533887,30,0
"23","Financial managers",1,34,294,404,352,277,84,44.9,1445,53.4,77.4,10.2,9.5,10.6,1360,1890,"11-3031","Financial Managers",1346,"Financial and insurance services branch managers","Financial and Insurance Services Branch managers","Managers","Financial and insurance services branch managers",0.41,"Low",0.19,"Other occupations",24.9654218533887,41,0
"24","Compensation and benefits managers",0,1,1,3,3,5,0,NA,13,NA,NA,NA,NA,NA,9,NA,"11-3111","Compensation and Benefits Managers",1212,"Human resource managers","Human Resource Managers","Managers","Human resource managers",0.27,"Low",0.09,"Other occupations",38.4615384615385,27,0
"25","Human resources managers",0,6,55,105,71,57,13,44.6,306,76.1,78.9,13.1,5.1,14.8,299,1869,"11-3121","Human Resources Managers",1212,"Human resource managers","Human Resource Managers","Managers","Human resource managers",0.27,"Low",0.09,"Other occupations",22.8013029315961,27,0
"26","Training and development managers",0,3,16,20,9,9,5,43.1,62,65.8,88.1,7.8,0,9.8,65,1536,"11-3131","Training and Development Managers",1212,"Human resource managers","Human Resource Managers","Managers","Human resource managers",0.27,"Low",0.09,"Other occupations",22.5806451612903,27,0
"27","Industrial production managers",1,8,41,80,88,63,10,47,290,23.8,81.1,8.5,7.6,14.9,288,1873,"11-3051","Industrial Production Managers",1321,"Manufacturing managers","Manufacturing Managers","Managers","Manufacturing managers",0.36,"Low",0.1,"Other occupations",25.085910652921,36,0
"28","Purchasing managers",0,4,40,67,47,47,16,45.5,221,47.5,83,8,5.5,8.6,218,1850,"11-3061","Purchasing Managers",1219,"Business services and administration managers not elsewhere classified","Business Services and Administration Managers Not Elsewhere Classified","Managers","Business services and administration managers not elsewhere classified",0.33,"Low",0.17,"Other occupations",28.5067873303167,33,0
"29","Transportation, storage, and distribution managers",1,11,94,91,101,67,16,43.7,380,21.8,77.2,13.5,6.2,14.8,343,1288,"11-3071","Transportation, Storage, and Distribution Managers",1324,"Supply, distribution and related managers","Supply, Distribution and Related Managers","Managers","Supply, distribution and related managers",0.39,"Low",0.14,"Augmentation potential",21.7847769028871,39,0
"30","Farmers, ranchers, and other agricultural managers",9,32,94,133,137,178,276,55.8,858,27,96,1.4,0.5,6.5,132,989,"11-9013","Farmers, Ranchers, and Other Agricultural Managers",1311,"Agricultural and forestry production managers","Agricultural and Forestry Production Managers","Managers","Agricultural and forestry production managers",0.29,"Low",0.15,"Other occupations",52.8521536670547,29,0
"31","Farmers, ranchers, and other agricultural managers",9,32,94,133,137,178,276,55.8,858,27,96,1.4,0.5,6.5,132,989,"11-9013","Farmers, Ranchers, and Other Agricultural Managers",1312,"Aquaculture and fisheries production managers","Aquaculture and Fisheries Production Managers","Managers","Aquaculture and fisheries production managers",0.31,"Low",0.16,"Other occupations",52.8521536670547,31,0
"32","Construction managers",4,40,266,339,290,229,82,44.5,1251,10.5,89.4,4.8,2.8,17.6,785,1765,"11-9021","Construction Managers",1323,"Construction managers","Construction Managers","Managers","Construction managers",0.41,"Low",0.19,"Other occupations",24.88,41,0
"33","Construction managers",4,40,266,339,290,229,82,44.5,1251,10.5,89.4,4.8,2.8,17.6,785,1765,"11-9021","Construction Managers",7111,"House builders","House Builders","Craft and related trades workers","House builders",0.15,"Very low",0.08,"Other occupations",24.88,15,0
"34","Education and childcare administrators",3,30,139,258,357,165,55,46.2,1006,66.2,78,16,3.5,10.3,892,1653,NA,NA,1341,NA,"Child Care Service Managers","Managers","Child care services managers",0.26,"Low",0.14,"Other occupations",21.8470705064548,26,0
"35","Architectural and engineering managers",0,0,26,58,56,40,21,47,201,10.6,75.8,5.2,17.5,8.1,199,2899,"11-9041","Architectural and Engineering Managers",1223,"Research and development managers","Research and Development Managers","Managers","Research and development managers",0.24,"Very low",0.12,"Other occupations",30.3482587064677,24,0
"36","Food service managers",33,139,277,273,246,158,66,40.8,1192,48.8,75.1,10.1,10.8,21.3,763,1046,"11-9051","Food Service Managers",1412,"Restaurant managers","Restaurant Managers","Managers","Restaurant managers",0.42,"Low",0.23,"Other occupations",18.7919463087248,42,0
"37","Funeral home managers",0,0,3,2,2,3,4,NA,14,NA,NA,NA,NA,NA,7,NA,NA,NA,1219,NA,"Business Services and Administration Managers Not Elsewhere Classified","Managers","Business services and administration managers not elsewhere classified",0.33,"Low",0.17,"Other occupations",50,33,0
"38","Entertainment and recreation managers",2,8,9,20,17,7,9,43.8,72,46.2,80,7.8,3.3,28.8,49,NA,NA,NA,3435,NA,"Other Artistic and Cultural Associate Professionals","Technicians and associate professionals","Other artistic and cultural associate professionals",NA,NA,NA,"Other occupations",22.2222222222222,NA,0
"39","Lodging managers",1,6,21,33,25,30,14,46.8,129,53.9,75.6,11.6,7.7,14.4,88,1210,"11-9081","Lodging Managers",1411,"Hotel managers","Hotel Managers","Managers","Hotel managers",0.4,"Low",0.2,"Other occupations",33.8461538461538,40,0
"40","Medical and health services managers",0,14,143,215,225,171,56,46.7,824,73.9,76.4,14.2,5.1,14.1,716,1710,"11-9111","Medical and Health Services Managers",1342,"Health services managers","Health Service Managers","Managers","Health services managers",0.32,"Low",0.12,"Other occupations",27.5485436893204,32,0
"41","Medical and health services managers",0,14,143,215,225,171,56,46.7,824,73.9,76.4,14.2,5.1,14.1,716,1710,"11-9111","Medical and Health Services Managers",1343,"Aged care services managers","Aged Care Service Managers","Managers","Aged care services managers",0.25,"Very low",0.09,"Other occupations",27.5485436893204,25,0
"42","Natural sciences managers",0,7,19,11,8,8,0,36.2,53,66.7,75.1,9.5,11.2,2.4,58,1538,"11-9121","Natural Sciences Managers",1223,"Research and development managers","Research and Development Managers","Managers","Research and development managers",0.24,"Very low",0.12,"Other occupations",15.0943396226415,24,0
"43","Postmasters and mail superintendents",0,0,5,5,10,3,1,NA,23,NA,NA,NA,NA,NA,20,NA,"11-9131","Postmasters and Mail Superintendents",1219,"Business services and administration managers not elsewhere classified","Business Services and Administration Managers Not Elsewhere Classified","Managers","Business services and administration managers not elsewhere classified",0.33,"Low",0.17,"Other occupations",16.6666666666667,33,0
"44","Property, real estate, and community association managers",3,28,126,172,171,159,131,49.2,790,47,79.6,10.7,6.6,13.8,445,1180,"11-9141","Property, Real Estate, and Community Association Managers",3334,"Real estate agents and property managers","Real Estate Agents and Property Managers","Technicians and associate professionals","Real estate agents and property managers",0.38,"Low",0.19,"Augmentation potential",36.7088607594937,38,0
"45","Social and community service managers",6,18,87,119,133,89,43,46.7,493,72.8,77.2,14.8,4,10.4,434,1415,"11-9151","Social and Community Service Managers",1344,"Social welfare managers","Social Welfare Managers","Managers","Social welfare managers",0.32,"Low",0.14,"Other occupations",26.6666666666667,32,0
"46","Emergency management directors",0,0,4,8,2,1,1,NA,18,NA,NA,NA,NA,NA,17,NA,"11-9161","Emergency Management Directors",1112,"Senior government officials","Senior Government Officials","Managers","Senior government officials",0.32,"Low",0.16,"Other occupations",12.5,32,0
"47","Personal service managers, all other",1,1,0,4,2,1,1,NA,11,NA,NA,NA,NA,NA,9,NA,NA,NA,5169,NA,"Personal Services Workers Not Elsewhere Classified","Service and sales workers","Personal services workers not elsewhere classified",0.12,"Very low",0.08,"Other occupations",20,12,0
"48","Managers, all other",14,149,870,1473,1489,1142,453,47,5591,38.7,80.1,9.3,7.5,13.2,3770,1863,"11-9199","Managers, All Other",1114,"Senior officials of special-interest organizations","Senior Officials of Special-interest Organizations","Managers","Senior officials of special-interest organizations",0.31,"Low",0.15,"Other occupations",28.5330948121646,31,0
"49","Managers, all other",14,149,870,1473,1489,1142,453,47,5591,38.7,80.1,9.3,7.5,13.2,3770,1863,"11-9199","Managers, All Other",1213,"Policy and planning managers","Policy and Planning Managers","Managers","Policy and planning managers",0.22,"Very low",0.08,"Other occupations",28.5330948121646,22,0
"50","Managers, all other",14,149,870,1473,1489,1142,453,47,5591,38.7,80.1,9.3,7.5,13.2,3770,1863,"11-9199","Managers, All Other",1219,"Business services and administration managers not elsewhere classified","Business Services and Administration Managers Not Elsewhere Classified","Managers","Business services and administration managers not elsewhere classified",0.33,"Low",0.17,"Other occupations",28.5330948121646,33,0
"51","Managers, all other",14,149,870,1473,1489,1142,453,47,5591,38.7,80.1,9.3,7.5,13.2,3770,1863,"11-9199","Managers, All Other",1322,"Mining managers","Mining Managers","Managers","Mining managers",0.36,"Low",0.18,"Augmentation potential",28.5330948121646,36,0
"52","Managers, all other",14,149,870,1473,1489,1142,453,47,5591,38.7,80.1,9.3,7.5,13.2,3770,1863,"11-9199","Managers, All Other",1349,"Professional services managers not elsewhere classified","Professional Services Managers Not Elsewhere Classified","Managers","Professional services managers not elsewhere classified",0.32,"Low",0.14,"Other occupations",28.5330948121646,32,0
"53","Managers, all other",14,149,870,1473,1489,1142,453,47,5591,38.7,80.1,9.3,7.5,13.2,3770,1863,"11-9199","Managers, All Other",1431,"Sports, recreation and cultural centre managers","Sports, Recreation and Cultural Centre Managers","Managers","Sports, recreation and cultural centre managers",0.33,"Low",0.17,"Other occupations",28.5330948121646,33,0
"54","Managers, all other",14,149,870,1473,1489,1142,453,47,5591,38.7,80.1,9.3,7.5,13.2,3770,1863,"11-9199","Managers, All Other",1439,"Services managers not elsewhere classified","Services Managers Not Elsewhere Classified","Managers","Services managers not elsewhere classified",NA,NA,NA,"Other occupations",28.5330948121646,NA,0
"55","Agents and business managers of artists, performers, and athletes",0,2,12,11,6,6,5,NA,42,NA,NA,NA,NA,NA,28,NA,"13-1011","Agents and Business Managers of Artists, Performers, and Athletes",3339,"Business services agents not elsewhere classified","Business Services Agents Not Elsewhere Classified","Technicians and associate professionals","Business services agents not elsewhere classified",0.52,"Medium",0.19,"Other occupations",26.1904761904762,52,1
"56","Buyers and purchasing agents, farm products",0,1,4,1,1,2,0,NA,9,NA,NA,NA,NA,NA,10,NA,"13-1021","Buyers and Purchasing Agents, Farm Products",3323,"Buyers","Buyers","Technicians and associate professionals","Buyers",0.48,"Low",0.14,"Other occupations",22.2222222222222,48,0
"57","Wholesale and retail buyers, except farm products",2,10,35,37,37,34,16,45.6,171,46.9,83.6,5.8,5.6,13.4,124,1184,"13-1022","Wholesale and Retail Buyers, Except Farm Products",3323,"Buyers","Buyers","Technicians and associate professionals","Buyers",0.48,"Low",0.14,"Other occupations",29.2397660818713,48,0
"58","Purchasing agents, except wholesale, retail, and farm products",1,12,60,62,62,59,21,46,278,47.6,78.2,10.6,7.5,9.1,270,1428,"13-1023","Purchasing Agents, Except Wholesale, Retail, and Farm Products",3323,"Buyers","Buyers","Technicians and associate professionals","Buyers",0.48,"Low",0.14,"Other occupations",28.8808664259928,48,0
"59","Claims adjusters, appraisers, examiners, and investigators",1,10,77,127,87,64,16,43.8,382,57.1,72.8,20.9,4.3,10,381,1348,NA,NA,3315,NA,"Valuers and Loss Assessors","Technicians and associate professionals","Valuers and loss assessors",0.39,"Low",0.12,"Augmentation potential",20.9424083769633,39,0
"60","Compliance officers",0,9,66,76,78,59,24,46.1,311,55,76.4,14.4,5.5,12.5,284,1517,"13-1041","Compliance Officers",3351,"Customs and border inspectors","Customs and Border Inspectors","Technicians and associate professionals","Customs and border inspectors",0.32,"Low",0.27,"Augmentation potential",26.6025641025641,32,0
"61","Compliance officers",0,9,66,76,78,59,24,46.1,311,55,76.4,14.4,5.5,12.5,284,1517,"13-1041","Compliance Officers",3353,"Government social benefits officials","Government Social Benefits Officials","Technicians and associate professionals","Government social benefits officials",0.49,"Low",0.09,"Other occupations",26.6025641025641,49,0
"62","Compliance officers",0,9,66,76,78,59,24,46.1,311,55,76.4,14.4,5.5,12.5,284,1517,"13-1041","Compliance Officers",3354,"Government licensing officials","Government Licensing Officials","Technicians and associate professionals","Government licensing officials",0.63,"Medium",0.03,"Automation potential",26.6025641025641,63,1
"63","Cost estimators",1,11,31,40,29,24,12,42.4,148,20,92.2,1.3,2.6,13.8,144,1646,"13-1051","Cost Estimators",3339,"Business services agents not elsewhere classified","Business Services Agents Not Elsewhere Classified","Technicians and associate professionals","Business services agents not elsewhere classified",0.52,"Medium",0.19,"Other occupations",24.3243243243243,52,1
"64","Human resources workers",2,46,269,278,177,138,34,41.1,944,75.5,76.6,14.3,4.9,15.2,922,1453,NA,NA,1212,NA,"Human Resource Managers","Managers","Human resource managers",0.27,"Low",0.09,"Other occupations",18.2203389830508,27,0
"65","Compensation, benefits, and job analysis specialists",0,5,11,11,12,7,0,NA,46,NA,NA,NA,NA,NA,46,NA,"13-1141","Compensation, Benefits, and Job Analysis Specialists",2423,"Personnel and careers professionals","Personnel and Careers Professionals","Professionals","Personnel and careers professionals",0.43,"Low",0.16,"Other occupations",15.2173913043478,43,0
"66","Training and development specialists",2,7,40,43,30,25,8,43.1,155,57.1,79.2,14.1,1.8,13.7,135,1417,"13-1151","Training and Development Specialists",2356,"Information technology trainers","Information Technology Trainers","Professionals","Information technology trainers",0.52,"Medium",0.18,"Other occupations",21.2903225806452,52,1
"67","Training and development specialists",2,7,40,43,30,25,8,43.1,155,57.1,79.2,14.1,1.8,13.7,135,1417,"13-1151","Training and Development Specialists",2424,"Training and staff development professionals","Training and Staff Development Professionals","Professionals","Training and staff development professionals",0.47,"Low",0.2,"Other occupations",21.2903225806452,47,0
"68","Logisticians",0,17,53,52,41,24,6,40.6,193,36.1,66.4,22,6.5,14.1,184,1205,"13-1081","Logisticians",2421,"Management and organization analysts","Management and Organization Analysts","Professionals","Management and organization analysts",0.43,"Low",0.18,"Other occupations",15.5440414507772,43,0
"69","Project management specialists",0,20,223,293,228,162,39,43,966,47.2,78.7,9.6,9.4,8.2,893,1854,NA,NA,3332,NA,"Conference and Event Planners","Technicians and associate professionals","Conference and event planners",0.51,"Medium",0.21,"Other occupations",20.8290155440415,51,1
"70","Management analysts",4,38,254,257,219,201,125,45.5,1099,40.9,77.2,8.4,10.9,8.8,756,1937,"13-1111","Management Analysts",2421,"Management and organization analysts","Management and Organization Analysts","Professionals","Management and organization analysts",0.43,"Low",0.18,"Other occupations",29.6903460837887,43,0
"71","Meeting, convention, and event planners",2,16,45,32,24,15,9,39.2,145,75.3,84,8,5.5,11.6,103,1170,"13-1121","Meeting, Convention, and Event Planners",3332,"Conference and event planners","Conference and Event Planners","Technicians and associate professionals","Conference and event planners",0.51,"Medium",0.21,"Other occupations",16.7832167832168,51,1
"72","Fundraisers",1,3,16,25,11,17,5,44.7,76,66.9,87.3,8.9,3.2,7.1,59,1729,"13-1131","Fundraisers",4214,"Debt-collectors and related workers","Debt Collectors and Related Workers","Clerical support workers","Debt-collectors and related workers",0.57,"Medium",0.13,"Other occupations",28.2051282051282,57,1
"73","Market research analysts and marketing specialists",7,89,216,153,84,66,16,36.4,632,65.9,76.8,7.8,10.7,10,493,1659,"13-1161","Market Research Analysts and Marketing Specialists",2431,"Advertising and marketing professionals","Advertising and Marketing Professionals","Professionals","Advertising and marketing professionals",0.51,"Medium",0.15,"Other occupations",12.9952456418384,51,1
"74","Business operations specialists, all other",11,43,165,188,145,119,46,42.9,717,61.2,76.7,11.7,6.5,13.6,598,1408,"13-1199","Business Operations Specialists, All Other",2422,"Policy administration professionals","Policy Administration Professionals","Professionals","Policy administration professionals",0.45,"Low",0.2,"Other occupations",23.0125523012552,45,0
"75","Business operations specialists, all other",11,43,165,188,145,119,46,42.9,717,61.2,76.7,11.7,6.5,13.6,598,1408,"13-1199","Business Operations Specialists, All Other",3339,"Business services agents not elsewhere classified","Business Services Agents Not Elsewhere Classified","Technicians and associate professionals","Business services agents not elsewhere classified",0.52,"Medium",0.19,"Other occupations",23.0125523012552,52,1
"76","Accountants and auditors",1,96,429,393,397,338,126,44.4,1778,57.2,75.6,9.8,11.8,11.1,1531,1642,"13-2011","Accountants and Auditors",2411,"Accountants","Accountants","Professionals","Accountants",0.52,"Medium",0.14,"Other occupations",26.0674157303371,52,1
"77","Property appraisers and assessors",1,3,12,11,17,25,12,52.4,80,40.1,94.1,0,3,7.4,49,NA,NA,NA,3315,NA,"Valuers and Loss Assessors","Technicians and associate professionals","Valuers and loss assessors",0.39,"Low",0.12,"Augmentation potential",45.679012345679,39,0
"78","Budget analysts",0,0,12,16,10,10,1,NA,49,NA,NA,NA,NA,NA,42,NA,"13-2031","Budget Analysts",2411,"Accountants","Accountants","Professionals","Accountants",0.52,"Medium",0.14,"Other occupations",22.4489795918367,52,1
"79","Credit analysts",0,4,13,8,7,7,0,NA,40,NA,NA,NA,NA,NA,42,NA,"13-2041","Credit Analysts",2413,"Financial analysts","Financial Analysts","Professionals","Financial analysts",0.59,"Medium",0.11,"Other occupations",17.9487179487179,59,1
"80","Financial and investment analysts",1,31,136,88,80,54,16,39.1,406,42.7,70.7,11.4,14.9,7.8,385,1889,NA,NA,2412,NA,"Financial and Investment Advisers","Professionals","Financial and investment advisers",0.45,"Low",0.23,"Other occupations",17.2413793103448,45,0
"81","Personal financial advisors",0,19,119,135,105,94,56,44.6,528,33.8,84.3,5.8,7.6,7.2,400,1922,"13-2052","Personal Financial Advisors",2412,"Financial and investment advisers","Financial and Investment Advisers","Professionals","Financial and investment advisers",0.45,"Low",0.23,"Other occupations",28.4090909090909,45,0
"82","Insurance underwriters",0,5,28,28,30,18,14,46,124,61.9,78.1,14.6,5.4,8.8,117,1331,"13-2053","Insurance Underwriters",3321,"Insurance representatives","Insurance Representatives","Technicians and associate professionals","Insurance representatives",0.46,"Low",0.22,"Other occupations",26.0162601626016,46,0
"83","Financial examiners",0,1,3,10,4,2,4,NA,23,NA,NA,NA,NA,NA,28,NA,"13-2061","Financial Examiners",2413,"Financial analysts","Financial Analysts","Professionals","Financial analysts",0.59,"Medium",0.11,"Other occupations",25,59,1
"84","Credit counselors and loan officers",6,7,58,90,75,67,10,44.4,313,52.8,83.5,10.3,2.3,10.7,295,1388,NA,NA,3312,NA,"Credit and Loans Officers","Technicians and associate professionals","Credit and loans officers",0.57,"Medium",0.14,"Other occupations",24.6006389776358,57,1
"85","Tax examiners and collectors, and revenue agents",0,2,3,13,13,10,3,NA,45,NA,NA,NA,NA,NA,43,NA,"13-2081","Tax Examiners and Collectors, and Revenue Agents",3352,"Government tax and excise officials","Government Tax and Excise Officials","Technicians and associate professionals","Government tax and excise officials",0.46,"Low",0.18,"Other occupations",29.5454545454545,46,0
"86","Tax preparers",0,7,31,16,16,23,19,46.9,113,60.4,80.5,8,6,23.8,62,1364,"13-2082","Tax Preparers",2411,"Accountants","Accountants","Professionals","Accountants",0.52,"Medium",0.14,"Other occupations",37.5,52,1
"87","Other financial specialists",0,11,28,29,29,27,8,44.9,132,53.1,67.7,16,12.5,8.6,122,1555,NA,NA,3339,NA,"Business Services Agents Not Elsewhere Classified","Technicians and associate professionals","Business services agents not elsewhere classified",0.52,"Medium",0.19,"Other occupations",26.5151515151515,52,1
"88","Computer and information research scientists",1,8,9,9,6,3,0,NA,36,NA,NA,NA,NA,NA,32,NA,"15-1111","Computer and Information Research Scientists",2511,"Systems analysts","Systems Analysts","Professionals","Systems analysts",0.37,"Low",0.09,"Other occupations",8.33333333333333,37,0
"89","Computer systems analysts",1,46,158,136,98,84,24,41,547,43.1,69.3,10.1,18.9,10.4,489,1664,"15-1121","Computer Systems Analysts",2511,"Systems analysts","Systems Analysts","Professionals","Systems analysts",0.37,"Low",0.09,"Other occupations",19.7440585009141,37,0
"90","Information security analysts",1,15,70,61,58,28,10,40.5,243,18.9,74.5,18.1,5.9,10.3,232,2424,"15-1122","Information Security Analysts",2529,"Database and network professionals not elsewhere classified","Database and Network Professionals Not Elsewhere Classified","Professionals","Database and network professionals not elsewhere classified",0.44,"Low",0.18,"Other occupations",15.6378600823045,44,0
"91","Computer programmers",3,21,74,88,74,60,14,43,334,17.8,70.4,8.9,17.1,10.8,325,1836,"15-1131","Computer Programmers",2514,"Applications programmers","Applications Programmers","Professionals","Applications programmers",0.62,"Medium",0.08,"Automation potential",22.1556886227545,62,1
"92","Software developers",3,129,742,567,366,230,40,38.8,2077,20.3,54.2,6.2,36.8,5.7,2017,2475,NA,NA,2512,NA,"Software Developers","Professionals","Software developers",0.34,"Low",0.09,"Other occupations",12.9995185363505,34,0
"93","Software quality assurance analysts and testers",0,4,29,22,12,12,4,40.6,82,45.7,56.3,14.3,16.7,10.3,75,1725,NA,NA,2519,NA,"Software and Applications Developers and Analysts","Professionals","Software and applications developers and analysts not elsewhere classified",0.39,"Low",0.15,"Augmentation potential",19.2771084337349,39,0
"94","Web developers",0,5,18,12,11,7,0,40.5,54,30.8,82.1,2.8,8.9,9.5,41,NA,"15-1134","Web Developers",2513,"Web and multimedia developers","Web and Multimedia Developers","Professionals","Web and multimedia developers",0.32,"Low",0.04,"Other occupations",13.2075471698113,32,0
"95","Web developers",0,5,18,12,11,7,0,40.5,54,30.8,82.1,2.8,8.9,9.5,41,NA,"15-1134","Web Developers",3514,"Web technicians","Web Technicians","Technicians and associate professionals","Web technicians",0.42,"Low",0.16,"Other occupations",13.2075471698113,42,0
